Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
Public Class,net.sf.mpxj.planner.schema.Group,0,0,10,5,10,0,10,48,1,80,10,YES
Public Class,net.sf.mpxj.planner.schema.Interval,0,0,4,2,4,0,4,21,1,50,4,YES
Public Class,net.sf.mpxj.planner.schema.ListItem,0,0,2,1,2,0,2,12,1,0,2,YES
Public Class,net.sf.mpxj.planner.schema.ObjectFactory,27,0,28,0,28,0,28,114,1,0,28,YES
Public Class,net.sf.mpxj.planner.schema.OverriddenDayType,0,0,3,2,3,0,3,21,1,50,4,YES
Public Class,net.sf.mpxj.planner.schema.Phase,0,0,2,1,2,0,2,12,1,0,2,YES
Public Class,net.sf.mpxj.planner.schema.Predecessor,0,0,8,4,8,0,8,46,1,75,9,YES
Public Class,net.sf.mpxj.planner.schema.Project,6,0,27,14,27,0,27,129,1,92,28,YES
Public Class,net.sf.mpxj.planner.schema.Property,0,0,13,7,13,0,13,66,1,85,14,YES
Public Class,net.sf.mpxj.planner.schema.Resource,1,0,24,12,24,0,24,111,1,91,24,YES
Public Class,net.sf.mpxj.planner.schema.ResourceGroups,0,0,3,2,3,0,3,21,1,50,4,YES
Public Class,net.sf.mpxj.planner.schema.Task,3,0,33,17,33,0,33,170,1,94,36,YES
Public Class,net.sf.mpxj.primavera.PrimaveraDatabaseReader,12,0,46,19,50,20,26,389,2,90,64,YES
Public Class,net.sf.mpxj.primavera.PrimaveraPMFileReader,75,0,40,12,48,31,9,1066,3,91,151,YES
Public Class,net.sf.mpxj.primavera.PrimaveraPMFileWriter,55,0,41,9,43,35,5,876,2,86,122,YES
Class,net.sf.mpxj.primavera.PrimaveraReader,59,0,43,19,48,26,22,1342,1,92,196,YES
Public Class,net.sf.mpxj.primavera.PrimaveraXERFileReader,19,0,47,26,55,25,22,737,3,93,99,YES
Public Class,net.sf.mpxj.primavera.schema.ActivityCodeAssignmentType,1,0,36,18,36,0,36,165,1,94,36,YES
Public Class,net.sf.mpxj.primavera.schema.ActivityCodeType,1,0,28,14,28,0,28,129,1,92,28,YES
Public Class,net.sf.mpxj.primavera.schema.ActivityCodeTypeType,1,0,32,16,32,0,32,147,1,93,32,YES
Public Class,net.sf.mpxj.primavera.schema.ActivityCodeUpdateType,1,0,32,16,32,0,32,147,1,93,32,YES
Public Class,net.sf.mpxj.primavera.schema.ActivityCommentType,1,0,24,12,24,0,24,111,1,91,24,YES
Public Class,net.sf.mpxj.primavera.schema.ActivityExpenseType,1,0,77,39,77,0,77,354,1,97,78,YES
Public Class,net.sf.mpxj.primavera.schema.ActivityFilterType,0,0,6,3,6,0,6,30,1,66,6,YES
Public Class,net.sf.mpxj.primavera.schema.ActivityNoteType,1,0,34,17,34,0,34,156,1,94,34,YES
Public Class,net.sf.mpxj.primavera.schema.ActivityNoteUpdateType,1,0,12,6,12,0,12,57,1,83,12,YES
Public Class,net.sf.mpxj.primavera.schema.ActivityOwnerType,1,0,26,13,26,0,26,120,1,92,26,YES
Public Class,net.sf.mpxj.primavera.schema.ActivityPeriodActualType,1,0,40,20,40,0,40,183,1,95,40,YES
Public Class,net.sf.mpxj.primavera.schema.ActivityRiskType,1,0,30,15,30,0,30,138,1,93,30,YES
Public Class,net.sf.mpxj.primavera.schema.ActivitySpreadType,1,0,7,4,7,0,7,1504,1,75,8,YES
Public Class,net.sf.mpxj.primavera.schema.ActivityStepCreateType,1,0,16,8,16,0,16,75,1,87,16,YES
Public Class,net.sf.mpxj.primavera.schema.ActivityStepDeleteType,1,0,12,6,12,0,12,57,1,83,12,YES
Public Class,net.sf.mpxj.primavera.schema.ActivityStepTemplateItemType,1,0,21,11,21,0,21,102,1,90,22,YES
