Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
Public Class,com.aelitis.azureus.core.devices.impl.DeviceOfflineDownloaderImpl,45,0,30,17,213,1,11,1093,3,92,160,NO
Public Class,com.aelitis.azureus.core.devices.impl.DeviceTivo,12,0,14,2,231,0,5,712,4,91,86,NO
Public Class,com.aelitis.azureus.core.devices.impl.DeviceTivoManager,11,0,12,6,12,0,0,388,1,79,39,NO
Public Abstract Class,com.aelitis.azureus.core.devices.impl.DeviceUPnPImpl,40,4,50,6,183,0,22,1058,2,87,148,NO
Class,com.aelitis.azureus.core.devices.impl.TranscodeFileImpl,27,0,59,3,59,2,35,606,1,84,116,NO
Public Class,com.aelitis.azureus.core.devices.impl.TranscodeJobImpl,32,0,52,23,52,0,30,615,1,88,105,NO
Public Class,com.aelitis.azureus.core.devices.impl.TranscodeJobOutputLeecher,11,0,25,4,25,0,25,427,1,92,28,NO
Public Class,com.aelitis.azureus.core.devices.impl.TranscodeManagerImpl,42,0,22,15,22,4,5,641,1,88,107,NO
Public Abstract Class,com.aelitis.azureus.core.devices.impl.TranscodePipe,5,3,14,14,14,0,3,357,1,92,20,NO
Public Class,com.aelitis.azureus.core.devices.impl.TranscodePipeFileSource,1,0,6,3,20,0,0,214,2,55,37,NO
Public Class,com.aelitis.azureus.core.devices.impl.TranscodePipeStreamSource,0,0,2,2,16,0,0,59,2,0,9,NO
Public Class,com.aelitis.azureus.core.devices.impl.TranscodePipeStreamSource2,1,0,2,1,16,0,0,46,2,0,6,NO
Public Class,com.aelitis.azureus.core.devices.impl.TranscodeProfileImpl,3,0,10,5,10,0,9,76,1,68,13,NO
Public Class,com.aelitis.azureus.core.devices.impl.TranscodeProviderVuze,20,0,14,4,14,1,10,603,1,69,60,NO
Public Class,com.aelitis.azureus.core.devices.impl.TranscodeQueueImpl,38,0,40,11,40,0,19,1118,1,89,120,NO
Public Class,com.aelitis.azureus.core.devices.TranscodeActionVetoException,0,0,1,0,1,0,1,10,2,0,1,NO
