Kind,Name,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,Alter
Public Class,com.logicaldoc.core.document.Bookmark,7,0,17,7,30,0,17,68,2,87,18,NO
Public Class,com.logicaldoc.core.document.dao.HibernateBookmarkDAO,2,0,6,0,58,0,6,69,2,0,14,NO
Public Class,com.logicaldoc.core.document.dao.HibernateBookmarkDAOTest,4,0,6,1,12,0,6,65,2,0,6,NO
Public Class,com.logicaldoc.core.document.dao.HibernateDocumentDAO,36,0,64,10,116,2,62,1107,2,95,245,YES
Public Class,com.logicaldoc.core.document.dao.HibernateDocumentDAOTest,21,0,40,4,46,0,40,503,2,68,40,NO
Public Class,com.logicaldoc.core.document.dao.HibernateDocumentHistoryDAO,6,0,11,0,63,1,10,121,2,0,29,YES
Public Class,com.logicaldoc.core.document.dao.HibernateDocumentHistoryDAOTest,8,0,11,1,17,0,11,160,2,0,14,NO
Public Class,com.logicaldoc.core.document.dao.HibernateDocumentLinkDAO,3,0,7,0,59,1,6,81,2,0,20,NO
Public Class,com.logicaldoc.core.document.dao.HibernateDocumentLinkDAOTest,7,0,6,2,12,0,6,90,2,33,6,NO
Public Class,com.logicaldoc.core.document.dao.HibernateDocumentNoteDAO,12,0,7,0,59,1,6,89,2,0,20,YES
Public Class,com.logicaldoc.core.document.dao.HibernateDocumentNoteDAOTest,3,0,3,1,9,0,3,21,2,0,3,YES
Public Class,com.logicaldoc.core.document.dao.HibernateRatingDAO,9,0,6,0,58,0,6,84,2,0,17,NO
Public Class,com.logicaldoc.core.document.dao.HibernateRatingDAOTest,4,0,5,1,11,0,5,54,2,0,5,NO
Public Class,com.logicaldoc.core.document.dao.HibernateVersionDAO,10,0,10,2,62,1,9,153,2,75,37,NO
Public Class,com.logicaldoc.core.document.dao.HibernateVersionDAOTest,8,0,5,2,11,0,5,57,2,30,5,NO
Public Class,com.logicaldoc.core.document.DigestProcessor,4,0,6,3,43,0,4,70,4,66,12,YES
Public Class,com.logicaldoc.core.document.Document,0,1,4,1,157,0,4,29,1,50,7,NO
Public Abstract Class,com.logicaldoc.core.document.DocumentComparator,0,17,0,0,5,0,5,226,3,80,24,YES
Public Class,com.logicaldoc.core.document.DocumentHistory,0,0,1,0,64,0,1,29,2,0,1,YES
Public Class,com.logicaldoc.core.document.DocumentLink,1,0,7,3,20,0,7,25,1,71,7,NO
Public Class,com.logicaldoc.core.document.DocumentListenerManager,2,0,2,1,2,0,2,48,1,25,8,NO
Public Class,com.logicaldoc.core.document.DocumentManagerImpl,39,0,42,11,42,5,37,950,2,83,178,YES
Public Class,com.logicaldoc.core.document.DocumentManagerImplTest,20,0,18,6,24,0,18,367,2,45,21,YES
Public Class,com.logicaldoc.core.document.DocumentNote,0,0,30,14,43,0,30,121,3,93,30,YES
Public Class,com.logicaldoc.core.document.DummyStorer,0,0,7,2,48,0,7,40,2,35,12,NO
Public Class,com.logicaldoc.core.document.DuplicateDocumentExeption,0,0,4,1,4,0,4,17,2,25,4,NO
Public Class,com.logicaldoc.core.document.Rating,0,0,13,6,26,0,13,45,1,84,13,NO
Public Class,com.logicaldoc.core.document.Tag,1,0,10,2,10,0,10,49,1,35,13,NO
Public Class,com.logicaldoc.core.document.TagCloud,0,0,10,3,10,0,10,35,2,70,10,NO
Public Class,com.logicaldoc.core.document.TagsProcessor,1,0,6,1,43,0,5,42,1,66,9,NO
Public Abstract Class,com.logicaldoc.core.document.thumbnail.AbstractThumbnailBuilder,0,3,0,0,0,0,0,3,2,0,0,YES
Public Class,com.logicaldoc.core.document.thumbnail.ImageThumbnailBuilder,4,1,1,0,1,0,1,33,2,100,6,YES
Public Class,com.logicaldoc.core.document.thumbnail.Mp3ThumbnailBuilder,2,0,1,0,1,0,1,37,3,100,6,NO
Public Class,com.logicaldoc.core.document.thumbnail.PdfThumbnailBuilder,3,0,1,0,2,0,1,15,1,100,2,YES
Public Class,com.logicaldoc.core.document.thumbnail.ThumbnailManager,14,0,10,2,10,4,5,125,2,73,25,YES
Public Class,com.logicaldoc.core.document.thumbnail.VideoThumbnailBuilder,3,0,3,0,3,2,1,75,4,100,16,YES
Public Class,com.logicaldoc.core.document.Version,6,0,25,10,180,1,26,190,3,92,42,YES
Public Class,com.logicaldoc.core.folder.Folder,4,0,80,31,108,0,80,393,1,96,105,NO
Public Class,com.logicaldoc.core.folder.FolderGroup,1,0,49,21,49,0,49,234,3,93,90,YES
Public Class,com.logicaldoc.core.folder.FolderHistory,0,0,1,0,64,0,1,26,2,0,1,YES
Public Class,com.logicaldoc.core.folder.HibernateFolderDAO,30,0,78,3,130,4,73,1701,2,92,394,YES
Public Class,com.logicaldoc.core.folder.HibernateFolderDAOTest,22,0,51,6,57,0,51,794,2,77,54,NO
Public Class,com.logicaldoc.core.folder.HibernateFolderHistoryDAO,6,0,9,0,61,1,8,110,2,0,25,YES
Public Class,com.logicaldoc.core.folder.HibernateFolderHistoryDAOTest,8,0,11,1,17,0,11,161,2,0,14,NO
Public Class,com.logicaldoc.core.folder.PathCalculator,2,0,6,3,43,0,5,56,3,72,10,NO
Public Class,com.logicaldoc.core.generic.Generic,0,0,34,14,62,0,34,130,2,92,35,YES
Public Class,com.logicaldoc.core.generic.HibernateGenericDAO,5,0,6,0,58,0,6,72,2,0,18,NO
Public Class,com.logicaldoc.core.generic.HibernateGenericDAOTest,7,0,7,1,13,0,7,59,1,0,7,NO
Public Abstract Class,com.logicaldoc.core.History,9,3,50,24,63,0,50,198,2,96,55,YES
Public Class,com.logicaldoc.core.i18n.DateBean,0,0,0,0,5,0,5,42,2,0,10,NO
Public Class,com.logicaldoc.core.i18n.Language,1,0,16,5,16,0,15,133,1,81,36,NO
Public Class,com.logicaldoc.core.i18n.LanguageManager,5,0,7,1,8,1,7,73,1,75,18,NO
Public Class,com.logicaldoc.core.i18n.LanguageTest,1,0,1,0,1,0,1,8,1,0,1,NO
Public Class,com.logicaldoc.core.lock.LockManager,6,0,7,3,7,1,5,87,1,42,18,NO
Public Class,com.logicaldoc.core.lock.LockManagerTest,5,0,2,3,8,0,2,28,2,0,3,NO
Public Class,com.logicaldoc.core.metadata.Attribute,3,0,36,15,36,0,36,205,1,90,56,YES
Public Class,com.logicaldoc.core.metadata.AttributeOption,0,0,13,5,26,0,13,49,2,78,13,NO
Public Class,com.logicaldoc.core.metadata.AttributeSet,0,0,8,4,36,0,8,30,3,80,8,NO
Public Abstract Class,com.logicaldoc.core.metadata.ExtensibleObject,1,5,15,1,28,2,13,139,2,19,42,NO
Public Class,com.logicaldoc.core.metadata.HibernateAttributeOptionDAO,3,0,6,0,58,1,5,75,2,0,17,NO
Public Class,com.logicaldoc.core.metadata.HibernateAttributeOptionDAOTest,1,0,4,1,10,0,4,41,2,0,4,NO
Public Class,com.logicaldoc.core.metadata.HibernateAttributeSetDAO,9,0,11,2,63,0,11,138,2,72,33,NO
Public Class,com.logicaldoc.core.metadata.HibernateAttributeSetDAOTest,7,0,7,1,13,0,7,58,2,0,7,NO
Public Class,com.logicaldoc.core.metadata.HibernateTemplateDAO,5,0,9,0,61,0,9,93,2,0,23,NO
Public Class,com.logicaldoc.core.metadata.HibernateTemplateDAOTest,7,0,6,1,12,0,6,69,2,0,7,NO
Public Class,com.logicaldoc.core.metadata.Template,0,0,8,4,36,0,8,30,3,80,8,NO
Public Class,com.logicaldoc.core.parser.AbiWordParser,2,0,1,0,4,0,1,49,2,0,2,NO
Public Abstract Class,com.logicaldoc.core.parser.AbstractParser,4,15,3,0,3,0,2,83,1,0,12,NO
Public Class,com.logicaldoc.core.parser.DOCParser,1,0,1,0,6,0,1,26,3,0,6,NO
Public Class,com.logicaldoc.core.parser.DummyParser,0,0,1,0,4,0,1,4,2,0,1,NO
Class,com.logicaldoc.core.parser.ExtractorHandler,0,0,6,2,6,0,6,42,2,66,11,NO
Public Class,com.logicaldoc.core.parser.HTMLParser,2,0,3,0,6,1,2,60,2,33,11,NO
Public Class,com.logicaldoc.core.parser.HTMLSAXParser,0,0,5,1,5,0,5,30,2,40,6,NO
Public Class,com.logicaldoc.core.parser.KOfficeParser,2,0,1,0,4,0,1,55,2,0,3,NO
Public Class,com.logicaldoc.core.parser.OpenOfficeParser,2,0,1,0,4,0,1,69,2,0,4,NO
