CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
7,0,2,9,2,1,1,216,1,50,7,YES
9,0,9,3,9,0,9,312,1,62,25,YES
4,0,13,1,13,0,10,85,1,61,13,YES
4,0,14,8,14,0,11,158,1,79,28,YES
43,2,28,20,29,0,0,835,1,90,78,YES
14,0,2,1,31,0,0,194,2,50,34,YES
9,0,2,1,31,0,0,130,2,50,22,YES
21,0,15,7,16,1,8,502,1,92,30,YES
16,0,12,6,13,0,10,354,1,80,44,YES
11,0,12,8,12,0,12,345,1,77,43,YES
11,0,17,7,17,4,13,369,1,68,59,YES
18,0,22,14,29,0,22,342,2,84,40,YES
12,0,26,18,26,0,26,649,1,82,125,YES
5,2,3,0,5,0,4,85,1,77,4,YES
9,0,6,11,11,0,3,225,2,68,20,YES
24,0,19,26,32,1,11,854,2,90,128,YES
7,0,10,2,10,0,10,99,1,55,22,YES
7,0,10,2,10,0,10,115,1,40,27,YES
29,0,11,14,11,2,6,300,1,83,27,YES
8,0,10,2,11,2,9,101,1,59,11,YES
15,0,12,14,12,5,7,675,1,81,89,YES
1,0,3,2,3,0,3,24,1,33,3,YES
2,0,5,1,5,0,5,43,1,60,8,YES
9,0,8,6,8,0,7,98,1,64,22,YES
9,0,8,8,8,0,8,112,1,71,19,YES
11,0,9,2,10,0,2,297,1,87,22,YES
1,0,9,2,9,0,9,91,1,33,15,YES
3,2,9,3,9,0,6,190,1,52,32,YES
2,0,5,2,14,0,3,46,2,50,6,YES
1,0,5,3,14,0,2,61,2,60,10,YES
1,0,12,3,12,0,11,119,1,61,21,YES
2,0,3,4,3,0,2,66,1,66,4,YES
5,0,5,9,5,0,4,122,1,73,7,YES
6,0,9,2,10,2,8,95,1,55,10,YES
1,0,2,1,2,0,2,16,1,0,2,YES
4,0,21,6,21,0,1,194,1,74,31,YES
21,0,18,17,18,0,6,548,1,89,62,YES
17,0,54,53,55,4,3,1589,1,92,275,YES
6,0,5,3,5,0,0,134,1,40,15,YES
11,0,14,4,40,0,12,114,2,78,19,YES
8,0,38,16,38,0,29,480,1,87,85,YES
10,0,11,21,11,6,5,454,1,77,85,YES
9,0,0,0,4,0,2,45,1,0,8,YES
5,0,0,0,4,0,4,76,1,16,13,YES
10,0,17,10,17,1,15,259,1,65,49,YES
2,0,11,3,11,0,11,75,1,27,15,YES
1,0,11,15,11,0,11,133,1,67,34,YES
2,0,16,11,17,4,13,168,1,76,38,YES
78,0,48,41,49,2,27,1594,1,95,169,YES
34,0,12,21,12,4,1,707,1,77,79,YES
8,0,7,17,7,2,0,225,1,81,13,YES
16,0,5,11,5,2,3,403,1,78,27,YES
12,0,7,0,8,3,5,187,1,87,22,YES
7,0,5,8,14,0,4,196,2,65,17,YES
7,0,5,6,14,0,4,196,2,53,21,YES
3,0,12,3,12,0,12,79,1,77,14,YES
3,0,12,3,12,0,12,94,1,77,18,YES
7,0,13,17,13,2,11,216,1,81,46,YES
3,0,2,1,2,0,2,18,1,0,2,YES
26,0,0,0,4,0,4,142,1,0,22,YES
3,0,15,6,15,0,15,108,1,77,17,YES
3,0,12,3,12,0,12,77,1,77,14,YES
3,0,12,3,12,0,12,77,1,77,14,YES
3,0,12,4,12,0,12,48,1,81,18,YES
3,0,14,6,14,0,14,64,1,79,22,YES
2,0,11,1,11,0,11,22,1,81,13,YES
3,0,12,2,12,0,12,39,1,75,16,YES
3,0,12,4,12,0,12,48,1,81,18,YES
2,0,11,1,11,0,11,22,1,81,13,YES
2,0,11,1,11,0,11,22,1,81,13,YES
3,0,17,3,17,0,17,42,1,88,21,YES
3,0,11,3,11,0,11,52,1,69,14,YES
9,1,12,15,12,2,9,261,1,78,54,YES
31,0,0,0,4,0,4,159,1,0,30,YES
3,0,14,6,14,0,14,60,1,79,23,YES
2,0,17,1,17,0,17,92,1,76,18,YES
3,0,16,7,16,0,16,77,1,80,27,YES
3,0,16,7,16,0,16,77,1,80,27,YES
3,0,12,4,12,0,12,48,1,81,18,YES
1,0,11,0,11,1,10,20,1,90,11,YES
7,0,23,6,23,0,23,194,1,83,55,YES
6,0,4,1,18,0,5,65,2,41,13,YES
11,0,9,3,9,0,9,127,1,62,29,YES
3,0,12,3,12,0,12,85,1,80,16,YES
8,0,8,3,9,1,8,50,1,62,11,YES
14,0,9,10,11,1,9,370,1,87,24,YES
9,0,17,17,17,3,12,360,1,86,64,YES
19,0,7,4,9,1,6,695,1,79,27,YES
42,0,55,57,55,9,38,2013,1,92,375,YES
5,0,0,0,7,0,7,149,1,0,41,YES
5,0,9,5,10,6,4,141,1,78,42,YES
9,0,0,1,19,8,5,406,1,93,97,YES
7,0,0,1,19,11,8,350,1,96,30,YES
3,0,0,0,12,8,4,214,1,91,60,YES
11,0,11,12,11,1,10,247,1,63,34,YES
5,0,0,0,7,0,7,51,1,57,11,YES
10,0,0,0,14,0,14,158,1,0,14,YES
20,0,0,3,16,5,11,501,1,88,63,YES
11,0,8,7,9,0,8,249,1,77,32,YES
9,0,25,9,25,0,18,231,1,84,39,YES
12,0,16,14,16,0,6,340,1,80,52,YES
8,0,18,4,19,3,16,623,2,82,60,YES
14,0,2,11,2,1,1,259,1,45,21,YES
2,0,4,3,4,0,3,61,1,50,12,YES
15,0,15,8,15,0,12,816,1,85,20,YES
10,0,10,5,10,0,10,74,1,76,10,YES
7,0,7,5,7,0,7,225,1,71,15,YES
6,18,9,2,9,0,4,87,1,83,11,YES
12,0,7,2,50,0,9,192,2,81,29,YES
0,0,3,1,5,0,3,27,3,0,3,YES
17,0,29,5,29,0,22,560,1,75,78,YES
24,0,24,5,26,1,14,518,1,90,63,YES
3,0,13,6,13,0,8,254,1,83,37,YES
27,0,44,17,44,1,36,876,1,93,77,YES
11,0,40,29,41,0,17,1162,1,89,190,YES
5,1,11,5,11,0,5,176,1,78,14,YES
2,0,2,1,13,0,0,19,2,50,3,YES
6,0,14,18,14,0,13,369,1,84,49,YES
6,0,9,13,9,3,6,142,1,76,32,YES
3,0,6,6,6,0,6,90,1,69,21,YES
2,0,13,6,13,6,7,172,1,83,29,YES
10,0,5,3,9,0,6,127,1,77,20,YES
4,0,9,21,9,1,7,117,1,78,20,YES
6,0,5,0,5,0,5,49,1,0,5,YES
2,0,1,0,7,1,6,77,1,0,10,YES
3,0,3,0,5,1,4,20,1,66,5,YES
9,0,1,0,2,1,1,25,1,0,3,YES
0,0,1,4,1,0,1,14,1,0,1,YES
5,0,2,1,2,0,2,32,1,0,5,YES
24,0,74,35,74,7,64,940,1,91,174,YES
15,0,25,12,25,10,13,377,1,88,72,YES
11,0,26,11,26,11,13,344,1,89,72,YES
4,0,14,2,14,0,13,101,1,53,16,YES
4,0,7,2,7,0,7,55,1,50,11,YES
9,0,14,19,14,0,13,338,1,86,38,YES
53,0,53,23,54,37,17,4805,1,95,460,YES
8,0,0,0,9,0,7,429,1,80,37,YES
14,0,5,2,5,0,0,88,1,19,13,YES
18,0,43,16,43,0,29,696,1,85,154,YES
41,0,108,44,116,0,61,1564,1,95,256,YES
104,0,138,26,141,13,50,4897,1,98,524,YES
11,0,20,7,20,1,11,273,1,76,51,YES
25,0,19,11,19,0,11,577,1,92,60,YES
21,3,108,25,108,8,77,1339,1,95,236,YES
19,1,58,28,177,8,43,1181,3,95,201,YES
49,0,52,16,53,12,23,1666,1,95,179,YES
21,0,16,11,17,9,7,1294,1,83,41,YES
8,0,8,3,8,4,2,188,1,79,34,YES
11,0,8,1,8,2,5,125,1,87,18,YES
9,0,11,6,11,5,4,288,1,69,36,YES
11,2,40,5,40,0,23,416,1,85,69,YES
6,0,6,1,53,0,4,55,3,66,7,YES
6,3,7,2,47,0,3,70,2,50,12,YES
7,1,11,2,119,0,8,120,2,54,22,YES
1,0,7,6,7,0,7,37,1,80,7,YES
2,5,4,0,4,0,4,24,1,0,4,YES
22,0,16,2,16,12,4,436,1,87,79,YES
1,0,0,0,2,0,2,74,1,0,2,YES
0,0,10,1,37,1,4,91,2,40,15,YES
0,0,10,1,37,1,4,95,2,40,16,YES
0,0,10,1,37,1,4,84,2,40,14,YES
4,3,24,3,27,0,14,285,1,76,48,YES
2,0,14,4,14,0,13,148,1,57,26,YES
1,0,4,1,4,0,4,81,1,25,4,YES
1,0,11,5,11,0,11,102,2,63,15,YES
3,0,8,0,10,1,9,238,1,90,46,YES
2,0,0,1,1,0,1,54,1,50,1,YES
1,0,0,0,12,0,12,88,1,0,12,YES
6,0,14,15,15,7,8,868,1,86,39,YES
2,0,0,0,5,0,5,208,1,0,36,YES
7,0,5,1,6,0,6,102,1,75,6,YES
3,0,9,2,9,0,9,219,1,16,36,YES
0,0,3,7,3,0,3,31,1,42,5,YES
1,0,1,0,1,0,1,218,1,0,25,YES
5,0,0,0,5,1,4,214,1,80,32,YES
0,3,3,1,7,3,3,59,2,60,11,YES
0,0,2,2,9,0,2,31,3,0,5,YES
0,0,2,2,9,0,2,21,3,0,2,YES
4,0,12,6,14,6,8,412,1,82,46,YES
1,0,0,0,3,0,3,71,1,66,13,YES
0,0,11,2,11,0,11,94,2,27,17,YES
3,0,0,0,3,0,3,26,1,0,4,YES
48,0,35,11,39,10,26,1154,1,93,210,YES
11,0,11,1,12,0,10,158,1,87,30,YES
4,0,9,2,9,0,7,185,1,55,13,YES
5,0,0,0,2,0,1,85,1,50,5,YES
43,0,41,22,42,0,37,1465,1,93,110,YES
52,0,50,17,50,1,43,1112,1,89,114,YES
21,0,76,20,76,0,66,754,1,93,118,YES
26,0,17,7,18,0,14,480,1,83,43,YES
8,0,13,6,14,0,14,555,1,82,97,YES
9,0,0,0,4,0,4,123,1,62,15,YES
53,0,16,8,17,4,9,1312,1,87,136,YES
89,0,112,44,113,0,44,3000,1,96,342,YES
18,0,20,4,20,0,9,705,1,81,45,YES
47,0,90,25,90,33,54,4039,1,96,236,YES
25,0,103,47,103,0,53,2311,1,95,256,YES
18,0,0,0,15,1,14,226,1,93,38,YES
