CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,Alter
0,0,6,2,6,0,6,42,2,66,11,NO
2,0,3,0,6,1,2,60,2,33,11,NO
0,0,5,1,5,0,5,30,2,40,6,NO
2,0,1,0,4,0,1,55,2,0,3,NO
2,0,1,0,4,0,1,69,2,0,4,NO
4,0,3,2,9,0,3,38,2,33,4,NO
21,0,0,0,7,1,6,132,1,57,27,YES
0,0,0,0,0,0,0,2,1,0,0,NO
0,0,3,0,6,1,1,90,2,33,18,NO
4,0,8,2,14,0,8,123,2,75,13,NO
1,0,1,0,4,0,1,22,2,0,5,NO
1,0,3,0,6,2,1,107,2,66,26,NO
1,1,2,0,5,0,1,53,2,50,8,NO
6,0,3,0,6,1,2,55,2,33,14,NO
4,0,1,0,7,0,1,13,2,0,1,NO
0,1,6,0,6,0,1,125,1,0,31,NO
2,0,1,0,4,0,1,13,2,0,2,NO
0,0,5,0,5,1,4,229,2,0,94,NO
1,0,4,0,10,0,1,57,2,0,14,NO
1,0,1,0,4,0,1,23,2,0,5,NO
2,0,1,0,4,0,1,38,2,0,4,NO
1,0,2,0,5,0,2,30,2,0,7,NO
0,0,4,0,4,0,4,14,2,0,4,NO
1,0,4,0,4,0,3,27,2,0,6,NO
0,20,13,5,13,0,13,50,1,84,14,YES
7,0,4,0,6,2,2,96,2,66,17,YES
3,0,2,1,2,0,2,19,2,0,4,NO
1,0,28,12,28,0,28,199,1,91,51,YES
17,0,5,0,17,3,2,360,2,0,108,YES
1,0,5,2,41,0,5,20,2,60,5,NO
5,0,1,0,7,0,1,61,2,0,3,NO
19,0,2,0,14,0,1,238,2,0,42,NO
0,0,22,10,58,0,22,79,2,90,22,NO
9,0,4,1,10,1,3,101,2,62,4,NO
0,0,7,3,158,0,7,44,5,66,13,NO
6,0,8,2,10,1,9,81,1,60,21,NO
14,0,9,8,48,1,9,247,2,85,31,YES
2,0,8,2,44,1,6,44,2,62,9,NO
2,0,2,0,2,0,2,11,2,0,2,NO
1,0,1,0,1,0,1,6,2,0,1,NO
17,3,10,6,12,0,10,165,1,80,30,NO
0,0,4,0,4,0,4,14,2,0,4,NO
0,2,35,15,36,0,35,142,1,94,36,NO
18,0,20,3,22,0,18,365,1,77,76,YES
7,0,7,1,13,0,7,99,2,50,7,NO
12,0,4,0,16,2,1,133,2,0,13,NO
3,0,1,0,7,0,1,38,2,0,3,NO
3,2,4,0,4,0,4,20,1,0,4,NO
0,0,2,0,4,0,2,9,3,0,2,NO
0,0,2,0,4,0,2,10,3,0,2,NO
14,0,7,1,11,1,5,99,2,78,25,NO
0,6,2,0,2,0,2,9,2,0,2,NO
8,0,2,1,6,0,2,22,2,0,7,NO
0,0,2,0,4,0,2,8,3,0,2,NO
0,0,2,0,4,0,2,9,3,0,2,NO
0,0,2,0,4,0,2,8,3,0,2,NO
0,0,2,0,4,0,2,10,3,0,2,NO
0,0,11,3,11,0,11,49,1,60,14,NO
9,0,14,1,66,1,13,187,2,85,38,YES
5,0,8,2,14,0,8,85,2,58,8,NO
11,0,29,1,81,0,28,610,2,65,146,YES
8,0,21,1,27,0,21,245,2,0,21,YES
4,0,6,1,58,0,5,65,2,100,16,YES
3,0,5,1,11,0,5,39,2,0,5,NO
13,0,15,9,67,0,14,95,2,93,21,YES
20,0,30,4,83,3,28,403,2,90,97,YES
11,0,14,2,20,0,14,194,2,39,14,NO
7,0,5,0,57,1,4,56,2,0,12,NO
7,0,5,1,11,0,5,68,2,0,8,NO
4,0,18,5,31,0,18,78,2,84,22,NO
15,0,0,0,3,0,3,101,1,33,24,NO
1,0,25,9,38,0,25,133,2,89,30,NO
1,0,17,5,17,0,17,75,1,80,26,YES
15,0,15,5,15,1,14,108,1,75,29,NO
8,0,7,3,13,0,7,99,2,42,10,NO
11,0,44,15,57,1,35,270,2,90,61,YES
14,0,29,4,32,5,27,302,2,89,84,NO
4,0,3,0,9,0,3,43,2,0,4,NO
6,0,3,0,3,0,3,48,1,0,10,NO
4,0,2,0,2,0,2,40,2,50,9,NO
2,0,4,0,4,0,4,32,2,0,8,NO
